date,home_team,score,away_team
18-03-2023,Aston Villa,3 - 0,Bournemouth
01-04-2023,Bournemouth,02-Jan,Fulham
04-04-2023,Bournemouth,0 - 2,Brighton
08-04-2023,Leicester,0 - 1,Bournemouth
15-04-2023,Tottenham,02-Mar,Bournemouth
23-04-2023,Bournemouth,0 - 4,West Ham
27-04-2023,Southampton,0 - 1,Bournemouth
30-04-2023,Bournemouth,04-Jan,Leeds
06-05-2023,Bournemouth,01-Mar,Chelsea
13-05-2023,Crystal Palace,2 - 0,Bournemouth
20-05-2023,Bournemouth,0 - 1,Man United
28-05-2023,Everton,1 - 0,Bournemouth
07-08-2022,Leicester,02-Feb,Brentford
13-08-2022,Brentford,4 - 0,Man United
20-08-2022,Fulham,03-Feb,Brentford
27-08-2022,Brentford,01-Jan,Everton
30-08-2022,Crystal Palace,01-Jan,Brentford
03-09-2022,Brentford,05-Feb,Leeds
18-09-2022,Brentford,0 - 3,Arsenal
01-10-2022,Bournemouth,0 - 0,Brentford
08-10-2022,Newcastle,05-Jan,Brentford
14-10-2022,Brentford,2 - 0,Brighton
19-10-2022,Brentford,0 - 0,Chelsea
23-10-2022,Aston Villa,4 - 0,Brentford
29-10-2022,Brentford,01-Jan,Wolves
05-11-2022,Nott'm Forest,02-Feb,Brentford
12-11-2022,Man City,01-Feb,Brentford
26-12-2022,Brentford,02-Feb,Tottenham
30-12-2022,West Ham,0 - 2,Brentford
02-01-2023,Brentford,03-Jan,Liverpool
14-01-2023,Brentford,2 - 0,Bournemouth
22-01-2023,Leeds,0 - 0,Brentford
04-02-2023,Brentford,3 - 0,Southampton
11-02-2023,Arsenal,01-Jan,Brentford
18-02-2023,Brentford,01-Jan,Crystal Palace
06-03-2023,Brentford,03-Feb,Fulham
11-03-2023,Everton,1 - 0,Brentford
15-03-2023,Southampton,0 - 2,Brentford
18-03-2023,Brentford,01-Jan,Leicester
01-04-2023,Brighton,03-Mar,Brentford
05-04-2023,Man United,1 - 0,Brentford
08-04-2023,Brentford,01-Feb,Newcastle
15-04-2023,Wolves,2 - 0,Brentford
22-04-2023,Brentford,01-Jan,Aston Villa
26-04-2023,Chelsea,0 - 2,Brentford
29-04-2023,Brentford,02-Jan,Nott'm Forest
06-05-2023,Liverpool,1 - 0,Brentford
14-05-2023,Brentford,2 - 0,West Ham
20-05-2023,Tottenham,01-Mar,Brentford
28-05-2023,Brentford,1 - 0,Man City
07-08-2022,Man United,01-Feb,Brighton
13-08-2022,Brighton,0 - 0,Newcastle
21-08-2022,West Ham,0 - 2,Brighton
27-08-2022,Brighton,1 - 0,Leeds
30-08-2022,Fulham,02-Jan,Brighton
04-09-2022,Brighton,05-Feb,Leicester
01-10-2022,Liverpool,03-Mar,Brighton
08-10-2022,Brighton,0 - 1,Tottenham
14-10-2022,Brentford,2 - 0,Brighton
18-10-2022,Brighton,0 - 0,Nott'm Forest
22-10-2022,Man City,03-Jan,Brighton
29-10-2022,Brighton,04-Jan,Chelsea
05-11-2022,Wolves,02-Mar,Brighton
13-11-2022,Brighton,01-Feb,Aston Villa
26-12-2022,Southampton,01-Mar,Brighton
31-12-2022,Brighton,02-Apr,Arsenal
03-01-2023,Everton,01-Apr,Brighton
14-01-2023,Brighton,3 - 0,Liverpool
21-01-2023,Leicester,02-Feb,Brighton
04-02-2023,Brighton,1 - 0,Bournemouth
11-02-2023,Crystal Palace,01-Jan,Brighton
18-02-2023,Brighton,0 - 1,Fulham
04-03-2023,Brighton,4 - 0,West Ham
11-03-2023,Leeds,02-Feb,Brighton
15-03-2023,Brighton,1 - 0,Crystal Palace
01-04-2023,Brighton,03-Mar,Brentford
04-04-2023,Bournemouth,0 - 2,Brighton
08-04-2023,Tottenham,02-Jan,Brighton
15-04-2023,Chelsea,01-Feb,Brighton
26-04-2023,Nott'm Forest,03-Jan,Brighton
29-04-2023,Brighton,6 - 0,Wolves
04-05-2023,Brighton,1 - 0,Man United
08-05-2023,Brighton,01-May,Everton
14-05-2023,Arsenal,0 - 3,Brighton
18-05-2023,Newcastle,04-Jan,Brighton
21-05-2023,Brighton,03-Jan,Southampton
24-05-2023,Brighton,01-Jan,Man City
28-05-2023,Aston Villa,02-Jan,Brighton
06-08-2022,Everton,0 - 1,Chelsea
14-08-2022,Chelsea,02-Feb,Tottenham
21-08-2022,Leeds,3 - 0,Chelsea
27-08-2022,Chelsea,02-Jan,Leicester
30-08-2022,Southampton,02-Jan,Chelsea
03-09-2022,Chelsea,02-Jan,West Ham
01-10-2022,Crystal Palace,01-Feb,Chelsea
08-10-2022,Chelsea,3 - 0,Wolves
16-10-2022,Aston Villa,0 - 2,Chelsea
19-10-2022,Brentford,0 - 0,Chelsea
22-10-2022,Chelsea,01-Jan,Man United
29-10-2022,Brighton,04-Jan,Chelsea
06-11-2022,Chelsea,0 - 1,Arsenal
12-11-2022,Newcastle,1 - 0,Chelsea
27-12-2022,Chelsea,2 - 0,Bournemouth
01-01-2023,Nott'm Forest,01-Jan,Chelsea
05-01-2023,Chelsea,0 - 1,Man City
12-01-2023,Fulham,02-Jan,Chelsea
15-01-2023,Chelsea,1 - 0,Crystal Palace
21-01-2023,Liverpool,0 - 0,Chelsea
03-02-2023,Chelsea,0 - 0,Fulham
11-02-2023,West Ham,01-Jan,Chelsea
18-02-2023,Chelsea,0 - 1,Southampton
26-02-2023,Tottenham,2 - 0,Chelsea
04-03-2023,Chelsea,1 - 0,Leeds
11-03-2023,Leicester,01-Mar,Chelsea
18-03-2023,Chelsea,02-Feb,Everton
01-04-2023,Chelsea,0 - 2,Aston Villa
04-04-2023,Chelsea,0 - 0,Liverpool
08-04-2023,Wolves,1 - 0,Chelsea
15-04-2023,Chelsea,01-Feb,Brighton
26-04-2023,Chelsea,0 - 2,Brentford
02-05-2023,Arsenal,03-Jan,Chelsea
06-05-2023,Bournemouth,01-Mar,Chelsea
13-05-2023,Chelsea,02-Feb,Nott'm Forest
21-05-2023,Man City,1 - 0,Chelsea
25-05-2023,Man United,04-Jan,Chelsea
28-05-2023,Chelsea,01-Jan,Newcastle
05-08-2022,Crystal Palace,0 - 2,Arsenal
15-08-2022,Liverpool,01-Jan,Crystal Palace
20-08-2022,Crystal Palace,03-Jan,Aston Villa
27-08-2022,Man City,04-Feb,Crystal Palace
30-08-2022,Crystal Palace,01-Jan,Brentford
03-09-2022,Newcastle,0 - 0,Crystal Palace
01-10-2022,Crystal Palace,01-Feb,Chelsea
09-10-2022,Crystal Palace,02-Jan,Leeds
15-10-2022,Leicester,0 - 0,Crystal Palace
18-10-2022,Crystal Palace,02-Jan,Wolves
22-10-2022,Everton,3 - 0,Crystal Palace
29-10-2022,Crystal Palace,1 - 0,Southampton
06-11-2022,West Ham,01-Feb,Crystal Palace
12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
26-12-2022,Crystal Palace,0 - 3,Fulham
31-12-2022,Bournemouth,0 - 2,Crystal Palace
04-01-2023,Crystal Palace,0 - 4,Tottenham
15-01-2023,Chelsea,1 - 0,Crystal Palace
18-01-2023,Crystal Palace,01-Jan,Man United
21-01-2023,Crystal Palace,0 - 0,Newcastle
04-02-2023,Man United,02-Jan,Crystal Palace
11-02-2023,Crystal Palace,01-Jan,Brighton
18-02-2023,Brentford,01-Jan,Crystal Palace
25-02-2023,Crystal Palace,0 - 0,Liverpool
04-03-2023,Aston Villa,1 - 0,Crystal Palace
11-03-2023,Crystal Palace,0 - 1,Man City
15-03-2023,Brighton,1 - 0,Crystal Palace
19-03-2023,Arsenal,04-Jan,Crystal Palace
01-04-2023,Crystal Palace,02-Jan,Leicester
09-04-2023,Leeds,01-May,Crystal Palace
15-04-2023,Southampton,0 - 2,Crystal Palace
22-04-2023,Crystal Palace,0 - 0,Everton
25-04-2023,Wolves,2 - 0,Crystal Palace
29-04-2023,Crystal Palace,04-Mar,West Ham
06-05-2023,Tottenham,1 - 0,Crystal Palace
13-05-2023,Crystal Palace,2 - 0,Bournemouth
20-05-2023,Fulham,02-Feb,Crystal Palace
28-05-2023,Crystal Palace,01-Jan,Nott'm Forest
06-08-2022,Everton,0 - 1,Chelsea
13-08-2022,Aston Villa,02-Jan,Everton
20-08-2022,Everton,01-Jan,Nott'm Forest
27-08-2022,Brentford,01-Jan,Everton
30-08-2022,Leeds,01-Jan,Everton
03-09-2022,Everton,0 - 0,Liverpool
18-09-2022,Everton,1 - 0,West Ham
01-10-2022,Southampton,01-Feb,Everton
09-10-2022,Everton,01-Feb,Man United
15-10-2022,Tottenham,2 - 0,Everton
19-10-2022,Newcastle,1 - 0,Everton
22-10-2022,Everton,3 - 0,Crystal Palace
29-10-2022,Fulham,0 - 0,Everton
05-11-2022,Everton,0 - 2,Leicester
12-11-2022,Bournemouth,3 - 0,Everton
26-12-2022,Everton,01-Feb,Wolves
31-12-2022,Man City,01-Jan,Everton
03-01-2023,Everton,01-Apr,Brighton
14-01-2023,Everton,01-Feb,Southampton
21-01-2023,West Ham,2 - 0,Everton
04-02-2023,Everton,1 - 0,Arsenal
13-02-2023,Liverpool,2 - 0,Everton
18-02-2023,Everton,1 - 0,Leeds
25-02-2023,Everton,0 - 2,Aston Villa
01-03-2023,Arsenal,4 - 0,Everton
05-03-2023,Nott'm Forest,02-Feb,Everton
11-03-2023,Everton,1 - 0,Brentford
18-03-2023,Chelsea,02-Feb,Everton
03-04-2023,Everton,01-Jan,Tottenham
08-04-2023,Man United,2 - 0,Everton
15-04-2023,Everton,01-Mar,Fulham
22-04-2023,Crystal Palace,0 - 0,Everton
27-04-2023,Everton,01-Apr,Newcastle
01-05-2023,Leicester,02-Feb,Everton
08-05-2023,Brighton,01-May,Everton
14-05-2023,Everton,0 - 3,Man City
20-05-2023,Wolves,01-Jan,Everton
28-05-2023,Everton,1 - 0,Bournemouth
06-08-2022,Fulham,02-Feb,Liverpool
13-08-2022,Wolves,0 - 0,Fulham
20-08-2022,Fulham,03-Feb,Brentford
27-08-2022,Arsenal,02-Jan,Fulham
30-08-2022,Fulham,02-Jan,Brighton
03-09-2022,Tottenham,02-Jan,Fulham
16-09-2022,Nott'm Forest,02-Mar,Fulham
01-10-2022,Fulham,01-Apr,Newcastle
09-10-2022,West Ham,03-Jan,Fulham
15-10-2022,Fulham,02-Feb,Bournemouth
20-10-2022,Fulham,3 - 0,Aston Villa
23-10-2022,Leeds,02-Mar,Fulham
29-10-2022,Fulham,0 - 0,Everton
05-11-2022,Man City,02-Jan,Fulham
13-11-2022,Fulham,01-Feb,Man United
26-12-2022,Crystal Palace,0 - 3,Fulham
31-12-2022,Fulham,02-Jan,Southampton
03-01-2023,Leicester,0 - 1,Fulham
12-01-2023,Fulham,02-Jan,Chelsea
15-01-2023,Newcastle,1 - 0,Fulham
23-01-2023,Fulham,0 - 1,Tottenham
03-02-2023,Chelsea,0 - 0,Fulham
11-02-2023,Fulham,2 - 0,Nott'm Forest
18-02-2023,Brighton,0 - 1,Fulham
24-02-2023,Fulham,01-Jan,Wolves
06-03-2023,Brentford,03-Feb,Fulham
12-03-2023,Fulham,0 - 3,Arsenal
01-04-2023,Bournemouth,02-Jan,Fulham
08-04-2023,Fulham,0 - 1,West Ham
15-04-2023,Everton,01-Mar,Fulham
22-04-2023,Fulham,02-Jan,Leeds
25-04-2023,Aston Villa,1 - 0,Fulham
30-04-2023,Fulham,01-Feb,Man City
03-05-2023,Liverpool,1 - 0,Fulham
08-05-2023,Fulham,05-Mar,Leicester
13-05-2023,Southampton,0 - 2,Fulham
20-05-2023,Fulham,02-Feb,Crystal Palace
28-05-2023,Man United,02-Jan,Fulham
06-08-2022,Leeds,02-Jan,Wolves
13-08-2022,Southampton,02-Feb,Leeds
21-08-2022,Leeds,3 - 0,Chelsea
27-08-2022,Brighton,1 - 0,Leeds
30-08-2022,Leeds,01-Jan,Everton
03-09-2022,Brentford,05-Feb,Leeds
02-10-2022,Leeds,0 - 0,Aston Villa
09-10-2022,Crystal Palace,02-Jan,Leeds
16-10-2022,Leeds,0 - 1,Arsenal
20-10-2022,Leicester,2 - 0,Leeds
23-10-2022,Leeds,02-Mar,Fulham
29-10-2022,Liverpool,01-Feb,Leeds
05-11-2022,Leeds,04-Mar,Bournemouth
12-11-2022,Tottenham,04-Mar,Leeds
28-12-2022,Leeds,01-Mar,Man City
31-12-2022,Newcastle,0 - 0,Leeds
04-01-2023,Leeds,02-Feb,West Ham
13-01-2023,Aston Villa,02-Jan,Leeds
22-01-2023,Leeds,0 - 0,Brentford
05-02-2023,Nott'm Forest,1 - 0,Leeds
08-02-2023,Man United,02-Feb,Leeds
12-02-2023,Leeds,0 - 2,Man United
18-02-2023,Everton,1 - 0,Leeds
25-02-2023,Leeds,1 - 0,Southampton
04-03-2023,Chelsea,1 - 0,Leeds
11-03-2023,Leeds,02-Feb,Brighton
18-03-2023,Wolves,02-Apr,Leeds
01-04-2023,Arsenal,04-Jan,Leeds
04-04-2023,Leeds,02-Jan,Nott'm Forest
09-04-2023,Leeds,01-May,Crystal Palace
17-04-2023,Leeds,01-Jun,Liverpool
22-04-2023,Fulham,02-Jan,Leeds
25-04-2023,Leeds,01-Jan,Leicester
30-04-2023,Bournemouth,04-Jan,Leeds
06-05-2023,Man City,02-Jan,Leeds
13-05-2023,Leeds,02-Feb,Newcastle
21-05-2023,West Ham,03-Jan,Leeds
28-05-2023,Leeds,01-Apr,Tottenham
07-08-2022,Leicester,02-Feb,Brentford
13-08-2022,Arsenal,04-Feb,Leicester
20-08-2022,Leicester,01-Feb,Southampton
27-08-2022,Chelsea,02-Jan,Leicester
01-09-2022,Leicester,0 - 1,Man United
04-09-2022,Brighton,05-Feb,Leicester
17-09-2022,Tottenham,06-Feb,Leicester
03-10-2022,Leicester,4 - 0,Nott'm Forest
08-10-2022,Bournemouth,02-Jan,Leicester
15-10-2022,Leicester,0 - 0,Crystal Palace
20-10-2022,Leicester,2 - 0,Leeds
23-10-2022,Wolves,0 - 4,Leicester
29-10-2022,Leicester,0 - 1,Man City
05-11-2022,Everton,0 - 2,Leicester
12-11-2022,West Ham,0 - 2,Leicester
26-12-2022,Leicester,0 - 3,Newcastle
30-12-2022,Liverpool,02-Jan,Leicester
03-01-2023,Leicester,0 - 1,Fulham
14-01-2023,Nott'm Forest,2 - 0,Leicester
21-01-2023,Leicester,02-Feb,Brighton
04-02-2023,Aston Villa,02-Apr,Leicester
11-02-2023,Leicester,04-Jan,Tottenham
19-02-2023,Man United,3 - 0,Leicester
25-02-2023,Leicester,0 - 1,Arsenal
04-03-2023,Southampton,1 - 0,Leicester
11-03-2023,Leicester,01-Mar,Chelsea
18-03-2023,Brentford,01-Jan,Leicester
01-04-2023,Crystal Palace,02-Jan,Leicester
04-04-2023,Leicester,01-Feb,Aston Villa
08-04-2023,Leicester,0 - 1,Bournemouth
15-04-2023,Man City,03-Jan,Leicester
22-04-2023,Leicester,02-Jan,Wolves
25-04-2023,Leeds,01-Jan,Leicester
01-05-2023,Leicester,02-Feb,Everton
08-05-2023,Fulham,05-Mar,Leicester
15-05-2023,Leicester,0 - 3,Liverpool
22-05-2023,Newcastle,0 - 0,Leicester
28-05-2023,Leicester,02-Jan,West Ham
06-08-2022,Fulham,02-Feb,Liverpool
15-08-2022,Liverpool,01-Jan,Crystal Palace
22-08-2022,Man United,02-Jan,Liverpool
27-08-2022,Liverpool,9 - 0,Bournemouth
31-08-2022,Liverpool,02-Jan,Newcastle
03-09-2022,Everton,0 - 0,Liverpool
01-10-2022,Liverpool,03-Mar,Brighton
09-10-2022,Arsenal,03-Feb,Liverpool
16-10-2022,Liverpool,1 - 0,Man City
19-10-2022,Liverpool,1 - 0,West Ham
22-10-2022,Nott'm Forest,1 - 0,Liverpool
29-10-2022,Liverpool,01-Feb,Leeds
06-11-2022,Tottenham,01-Feb,Liverpool
12-11-2022,Liverpool,03-Jan,Southampton
26-12-2022,Aston Villa,01-Mar,Liverpool
30-12-2022,Liverpool,02-Jan,Leicester
02-01-2023,Brentford,03-Jan,Liverpool
14-01-2023,Brighton,3 - 0,Liverpool
21-01-2023,Liverpool,0 - 0,Chelsea
04-02-2023,Wolves,3 - 0,Liverpool
13-02-2023,Liverpool,2 - 0,Everton
18-02-2023,Newcastle,0 - 2,Liverpool
25-02-2023,Crystal Palace,0 - 0,Liverpool
01-03-2023,Liverpool,2 - 0,Wolves
05-03-2023,Liverpool,7 - 0,Man United
11-03-2023,Bournemouth,1 - 0,Liverpool
01-04-2023,Man City,04-Jan,Liverpool
04-04-2023,Chelsea,0 - 0,Liverpool
09-04-2023,Liverpool,02-Feb,Arsenal
17-04-2023,Leeds,01-Jun,Liverpool
22-04-2023,Liverpool,03-Feb,Nott'm Forest
26-04-2023,West Ham,01-Feb,Liverpool
30-04-2023,Liverpool,04-Mar,Tottenham
03-05-2023,Liverpool,1 - 0,Fulham
06-05-2023,Liverpool,1 - 0,Brentford
15-05-2023,Leicester,0 - 3,Liverpool
20-05-2023,Liverpool,01-Jan,Aston Villa
28-05-2023,Southampton,04-Apr,Liverpool
07-08-2022,West Ham,0 - 2,Man City
13-08-2022,Man City,4 - 0,Bournemouth
21-08-2022,Newcastle,03-Mar,Man City
27-08-2022,Man City,04-Feb,Crystal Palace
31-08-2022,Man City,6 - 0,Nott'm Forest
03-09-2022,Aston Villa,01-Jan,Man City
17-09-2022,Wolves,0 - 3,Man City
02-10-2022,Man City,06-Mar,Man United
08-10-2022,Man City,4 - 0,Southampton
16-10-2022,Liverpool,1 - 0,Man City
22-10-2022,Man City,03-Jan,Brighton
29-10-2022,Leicester,0 - 1,Man City
05-11-2022,Man City,02-Jan,Fulham
12-11-2022,Man City,01-Feb,Brentford
28-12-2022,Leeds,01-Mar,Man City
31-12-2022,Man City,01-Jan,Everton
05-01-2023,Chelsea,0 - 1,Man City
14-01-2023,Man United,02-Jan,Man City
19-01-2023,Man City,04-Feb,Tottenham
22-01-2023,Man City,3 - 0,Wolves
05-02-2023,Tottenham,1 - 0,Man City
12-02-2023,Man City,03-Jan,Aston Villa
15-02-2023,Arsenal,01-Mar,Man City
18-02-2023,Nott'm Forest,01-Jan,Man City
25-02-2023,Bournemouth,01-Apr,Man City
04-03-2023,Man City,2 - 0,Newcastle
11-03-2023,Crystal Palace,0 - 1,Man City
01-04-2023,Man City,04-Jan,Liverpool
08-04-2023,Southampton,01-Apr,Man City
15-04-2023,Man City,03-Jan,Leicester
26-04-2023,Man City,04-Jan,Arsenal
30-04-2023,Fulham,01-Feb,Man City
03-05-2023,Man City,3 - 0,West Ham
06-05-2023,Man City,02-Jan,Leeds
14-05-2023,Everton,0 - 3,Man City
21-05-2023,Man City,1 - 0,Chelsea
24-05-2023,Brighton,01-Jan,Man City
28-05-2023,Brentford,1 - 0,Man City
07-08-2022,Man United,01-Feb,Brighton
13-08-2022,Brentford,4 - 0,Man United
22-08-2022,Man United,02-Jan,Liverpool
27-08-2022,Southampton,0 - 1,Man United
01-09-2022,Leicester,0 - 1,Man United
04-09-2022,Man United,03-Jan,Arsenal
02-10-2022,Man City,06-Mar,Man United
09-10-2022,Everton,01-Feb,Man United
16-10-2022,Man United,0 - 0,Newcastle
19-10-2022,Man United,2 - 0,Tottenham
22-10-2022,Chelsea,01-Jan,Man United
30-10-2022,Man United,1 - 0,West Ham
06-11-2022,Aston Villa,03-Jan,Man United
13-11-2022,Fulham,01-Feb,Man United
27-12-2022,Man United,3 - 0,Nott'm Forest
31-12-2022,Wolves,0 - 1,Man United
03-01-2023,Man United,3 - 0,Bournemouth
14-01-2023,Man United,02-Jan,Man City
18-01-2023,Crystal Palace,01-Jan,Man United
22-01-2023,Arsenal,03-Feb,Man United
04-02-2023,Man United,02-Jan,Crystal Palace
08-02-2023,Man United,02-Feb,Leeds
12-02-2023,Leeds,0 - 2,Man United
19-02-2023,Man United,3 - 0,Leicester
05-03-2023,Liverpool,7 - 0,Man United
12-03-2023,Man United,0 - 0,Southampton
02-04-2023,Newcastle,2 - 0,Man United
05-04-2023,Man United,1 - 0,Brentford
08-04-2023,Man United,2 - 0,Everton
16-04-2023,Nott'm Forest,0 - 2,Man United
27-04-2023,Tottenham,02-Feb,Man United
30-04-2023,Man United,1 - 0,Aston Villa
04-05-2023,Brighton,1 - 0,Man United
07-05-2023,West Ham,1 - 0,Man United
13-05-2023,Man United,2 - 0,Wolves
20-05-2023,Bournemouth,0 - 1,Man United
25-05-2023,Man United,04-Jan,Chelsea
28-05-2023,Man United,02-Jan,Fulham
06-08-2022,Newcastle,2 - 0,Nott'm Forest
13-08-2022,Brighton,0 - 0,Newcastle
21-08-2022,Newcastle,03-Mar,Man City
28-08-2022,Wolves,01-Jan,Newcastle
31-08-2022,Liverpool,02-Jan,Newcastle
03-09-2022,Newcastle,0 - 0,Crystal Palace
17-09-2022,Newcastle,01-Jan,Bournemouth
01-10-2022,Fulham,01-Apr,Newcastle
08-10-2022,Newcastle,05-Jan,Brentford
16-10-2022,Man United,0 - 0,Newcastle
19-10-2022,Newcastle,1 - 0,Everton
23-10-2022,Tottenham,01-Feb,Newcastle
29-10-2022,Newcastle,4 - 0,Aston Villa
06-11-2022,Southampton,01-Apr,Newcastle
12-11-2022,Newcastle,1 - 0,Chelsea
26-12-2022,Leicester,0 - 3,Newcastle
31-12-2022,Newcastle,0 - 0,Leeds
03-01-2023,Arsenal,0 - 0,Newcastle
15-01-2023,Newcastle,1 - 0,Fulham
21-01-2023,Crystal Palace,0 - 0,Newcastle
04-02-2023,Newcastle,01-Jan,West Ham
11-02-2023,Bournemouth,01-Jan,Newcastle
18-02-2023,Newcastle,0 - 2,Liverpool
04-03-2023,Man City,2 - 0,Newcastle
12-03-2023,Newcastle,02-Jan,Wolves
17-03-2023,Nott'm Forest,01-Feb,Newcastle
02-04-2023,Newcastle,2 - 0,Man United
05-04-2023,West Ham,01-May,Newcastle
08-04-2023,Brentford,01-Feb,Newcastle
15-04-2023,Aston Villa,3 - 0,Newcastle
23-04-2023,Newcastle,06-Jan,Tottenham
27-04-2023,Everton,01-Apr,Newcastle
30-04-2023,Newcastle,03-Jan,Southampton
07-05-2023,Newcastle,0 - 2,Arsenal
13-05-2023,Leeds,02-Feb,Newcastle
18-05-2023,Newcastle,04-Jan,Brighton
22-05-2023,Newcastle,0 - 0,Leicester
28-05-2023,Chelsea,01-Jan,Newcastle
06-08-2022,Newcastle,2 - 0,Nott'm Forest
14-08-2022,Nott'm Forest,1 - 0,West Ham
20-08-2022,Everton,01-Jan,Nott'm Forest
28-08-2022,Nott'm Forest,0 - 2,Tottenham
31-08-2022,Man City,6 - 0,Nott'm Forest
03-09-2022,Nott'm Forest,02-Mar,Bournemouth
16-09-2022,Nott'm Forest,02-Mar,Fulham
